                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48875,                0.25638,                0.78791,                0.88815,                 0.7955,                0.84183,                0.59891,                0.78765,                0.39213,                 0.8417,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 0.4895,                0.25587,                0.79166,                0.89624,                0.79443,                0.81657,                0.59253,                0.78616,                0.39427,                0.84112,             0.00012078,             0.00012078,             0.00012078
                      3,                0.51088,                 0.2626,                0.79568,                0.89943,                0.79767,                 0.8143,                0.59849,                0.78541,                0.39218,                0.84122,              0.0001838,              0.0001838,              0.0001838
                      4,                0.48537,                0.25404,                0.78888,                0.90353,                0.79622,                0.81718,                 0.5976,                0.78364,                0.39247,                0.83983,             0.00024619,             0.00024619,             0.00024619
                      5,                0.50687,                0.26155,                 0.7964,                0.87486,                0.78183,                0.81046,                 0.5987,                0.78754,                 0.4015,                0.83755,             0.00030794,             0.00030794,             0.00030794
                      6,                0.49777,                0.26192,                0.79335,                0.89081,                0.79915,                0.84234,                0.59985,                0.79838,                0.39599,                0.84109,             0.00036905,             0.00036905,             0.00036905
                      7,                0.52244,                0.27822,                0.79054,                 0.8489,                0.80648,                0.80449,                0.58619,                0.79079,                0.38917,                0.83901,             0.00042953,             0.00042953,             0.00042953
                      8,                0.49759,                0.26751,                0.79482,                0.86095,                0.80494,                0.79668,                 0.5882,                0.82353,                0.40854,                0.84615,             0.00048937,             0.00048937,             0.00048937
                      9,                0.51961,                0.27486,                0.79932,                0.95275,                0.72333,                0.77438,                0.57378,                0.81469,                0.40384,                0.84718,             0.00054858,             0.00054858,             0.00054858
                     10,                0.51199,                0.27164,                0.79276,                0.93883,                0.73899,                0.78808,                0.58987,                0.80416,                0.40466,                0.84075,             0.00060715,             0.00060715,             0.00060715
                     11,                 0.5184,                0.27494,                0.80099,                0.89833,                0.79852,                0.79349,                0.58983,                0.80294,                0.41644,                0.84584,             0.00066508,             0.00066508,             0.00066508
                     12,                0.54142,                0.28101,                0.79227,                0.89239,                0.78427,                0.81916,                0.60221,                0.81785,                0.42867,                0.84258,             0.00067512,             0.00067512,             0.00067512
                     13,                0.53568,                0.28281,                0.79392,                0.93878,                0.75866,                0.81284,                0.58571,                0.81263,                0.42477,                 0.8457,             0.00067159,             0.00067159,             0.00067159
                     14,                0.54545,                0.28534,                 0.7951,                0.90476,                0.77763,                0.79719,                0.58319,                0.81402,                0.42021,                0.84436,             0.00066805,             0.00066805,             0.00066805
                     15,                0.54785,                0.29029,                0.79022,                0.83309,                0.79814,                0.77542,                0.56909,                0.80782,                0.41884,                0.84456,             0.00066452,             0.00066452,             0.00066452
                     16,                0.53191,                0.28769,                0.79683,                0.90992,                0.72681,                0.78665,                0.58768,                0.79338,                0.40959,                0.84132,             0.00066099,             0.00066099,             0.00066099
                     17,                0.54309,                0.29096,                0.79479,                  0.908,                0.73653,                0.77612,                0.57734,                0.80543,                0.41283,                0.84387,             0.00065745,             0.00065745,             0.00065745
                     18,                0.53452,                0.28561,                0.79111,                0.87911,                0.78224,                0.78987,                0.58615,                0.81948,                0.41582,                0.84448,             0.00065392,             0.00065392,             0.00065392
                     19,                0.53121,                0.28272,                0.78841,                0.88488,                   0.79,                0.79362,                0.58333,                0.81896,                0.40243,                0.84659,             0.00065038,             0.00065038,             0.00065038
                     20,                0.54724,                0.28804,                0.79275,                0.84872,                0.76514,                0.80007,                0.57601,                0.84432,                0.41962,                0.84548,             0.00064685,             0.00064685,             0.00064685
                     21,                 0.5383,                0.28266,                0.79168,                0.85905,                0.79419,                 0.7944,                0.59367,                0.80378,                0.40828,                0.84197,             0.00064331,             0.00064331,             0.00064331
                     22,                0.54096,                0.27978,                 0.7871,                0.84064,                0.79207,                0.79983,                 0.5843,                 0.8017,                0.40626,                0.83978,             0.00063978,             0.00063978,             0.00063978
