                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6271,                 2.8236,                 1.0367,                 0.6273,                 0.3221,                 0.3982,                  0.231,                 1.5998,                 1.9752,                 1.0282,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.3931,                 1.5757,                 0.9779,                0.61017,                 0.5318,                 0.5467,                0.34575,                 1.2816,                0.97011,                0.94275,             0.00012078,             0.00012078,             0.00012078
                      3,                 1.1666,                0.82918,                0.91481,                0.61452,                 0.6224,                0.61532,                0.41529,                 1.1119,                 0.6759,                0.90582,              0.0001838,              0.0001838,              0.0001838
                      4,                 1.0038,                0.61316,                0.87807,                0.85499,                0.57548,                0.63942,                 0.4382,                 1.0571,                0.61203,                0.89266,             0.00024619,             0.00024619,             0.00024619
                      5,                 0.9544,                0.54307,                0.86962,                0.87495,                0.59843,                0.66191,                0.46312,                 1.0026,                0.53938,                 0.8848,             0.00030794,             0.00030794,             0.00030794
                      6,                0.89019,                0.49647,                0.85923,                0.79617,                0.67055,                0.66222,                0.47957,                0.96788,                0.52243,                0.87506,             0.00036905,             0.00036905,             0.00036905
                      7,                0.88559,                0.49852,                0.85283,                0.86788,                0.63874,                0.68844,                0.50625,                0.93012,                0.50999,                0.86655,             0.00042953,             0.00042953,             0.00042953
                      8,                0.83548,                0.44965,                0.84892,                0.79673,                 0.6645,                 0.7058,                0.51639,                0.92395,                0.49328,                0.86582,             0.00048937,             0.00048937,             0.00048937
                      9,                0.82369,                0.43937,                0.84616,                0.84343,                0.66782,                0.71615,                0.51752,                0.93652,                0.51269,                0.87076,             0.00054858,             0.00054858,             0.00054858
                     10,                0.80968,                0.42878,                0.84338,                0.78788,                0.72403,                0.71317,                0.51364,                0.94899,                0.49186,                0.87003,             0.00060715,             0.00060715,             0.00060715
                     11,                0.78997,                0.41864,                0.83852,                0.80403,                0.70317,                 0.7005,                0.51494,                0.89955,                0.51735,                0.85729,             0.00066508,             0.00066508,             0.00066508
